House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
5,Telegraphnet Street,Abdul,Taylor,9,Son,NA,Male,Student,None,NA
5,Telegraphnet Street,Emma,Taylor,7,Daughter,NA,Female,Student,None,NA
6,Telegraphnet Street,Bernard,Ellis,36,Head,Single,Male,"Editor, commissioning",None,None
6,Telegraphnet Street,John,Ellis,6,Son,NA,Male,Student,None,NA
6,Telegraphnet Street,Georgia,Ellis,2,Daughter,NA,Female,Child,None,NA
6,Telegraphnet Street,Scott,Ellis,1,Son,NA,Male,Child,None,NA
6,Telegraphnet Street,Mark,Webb,25,Lodger,Widowed,Male,Set designer,None,None
7,Telegraphnet Street,Emily,Conway,44,Head,Single,Female,"Production designer, theatre/television/film",None,None
7,Telegraphnet Street,Garry,Morton,32,None,Single,Male,"Therapist, sports",None,None
7,Telegraphnet Street,Sandra,Hooper,56,None,Single,Female,Health promotion specialist,None,None
7,Telegraphnet Street,Kate,Thompson,59,None,Single,Female,"Nurse, mental health",None,Christian
8,Telegraphnet Street,Elaine,Patel,78,Head,Divorced,Female,Retired Clinical biochemist,None,Christian
8,Telegraphnet Street,Kate,Patel,44,Daughter,Single,Female,Translator,None,Christian
8,Telegraphnet Street,Damien,Patel,42,Son,Single,Male,Tourist information centre manager,None,Christian
8,Telegraphnet Street,Linda, ,41,Daughter,Single,Female,Commercial art gallery manager,None,Christian
8,Telegraphnet Street,Patricia,Patel,38,Daughter,Divorced,Female,Psychiatrist,None,Christian
9,Telegraphnet Street,Carly,Warren,41,Head,Divorced,Female,Unemployed,Blind,None
9,Telegraphnet Street,Ann,Warren,11,Daughter,NA,Female,Student,None,NA
10,Telegraphnet Street,Joyce,Smith,21,Head,Single,Female,University Student,None,None
10,Telegraphnet Street,Duncan,Thompson,31,None,Single,Male,PhD Student,None,None
11,Telegraphnet Street,Edward,Giles,74,Head,Married,Male,Retired Building control surveyor,None,Christian
11,Telegraphnet Street,Lynda,Giles,67,Wife,Married,Female,Network engineer,None,Christian
12,Telegraphnet Street,Mary,Taylor,63,Head,Single,Female,"Geologist, engineering",None,Christian
12,Telegraphnet Street,Robin,Clark,65,Partner,Single,Male,Mudlogger,None,Christian
13,Telegraphnet Street,Georgia,James,71,Head,Widowed,Female,"Retired Designer, ceramics/pottery",None,Methodist
14,Telegraphnet Street,Barbara,Coates,79,Head,Widowed,Female,"Retired Conservation officer, nature",None,Christian
15,Telegraphnet Street,Bruce,Carr,56,Head,Single,Male,Arts development officer,None,Christian
15,Telegraphnet Street,Barry,Carr,7,Grandson,NA,Male,Student,None,NA
16,Telegraphnet Street,Aimee,Henderson,40,Head,Married,Female,Risk analyst,None,Catholic
16,Telegraphnet Street,Maurice,Henderson,45,Husband,Married,Male,Curator,None,Catholic
16,Telegraphnet Street,Lorraine,Henderson,15,Daughter,NA,Female,Student,None,NA
16,Telegraphnet Street,Irene,Henderson,12,Daughter,NA,Female,Student,None,NA
17,Telegraphnet Street,Alexandra,Harrison,61,Head,Divorced,Female,"Teacher, early years/pre",None,Christian
18,Telegraphnet Street,Hannah,Hart,65,Head,Divorced,Female,Health service manager,None,None
19,Telegraphnet Street,Tom,Burgess,72,Head,Married,Male,Retired TEFL teacher,None,Catholic
19,Telegraphnet Street,Patricia,Burgess,74,Wife,Married,Female,Retired Chief Executive Officer,None,None
20,Telegraphnet Street,Janet,Turnbull,57,Head,Single,Female,Risk analyst,None,None
20,Telegraphnet Street,Declan,Freeman,61,Partner,Single,Male,"Merchandiser, retail",None,None
21,Telegraphnet Street,Jayne,Manning,54,Head,Single,Female,Unemployed,None,None
21,Telegraphnet Street,Roger,Richardson,57,Partner,Single,Male,Social worker,None,None
22,Telegraphnet Street,Andrea,Davies,53,Head,Single,Female,Learning disability nurse,None,None
22,Telegraphnet Street,Nicole,Rowley,33,None,Single,Female,Unemployed,None,Catholic
22,Telegraphnet Street,Duncan,Shaw,19,None,Single,Male,University Student,None,Catholic
22,Telegraphnet Street,Katy,Wilson,63,None,Single,Female,"Embryologist, clinical",None,Jewish
23,Telegraphnet Street,Samantha,Watson,33,Head,Single,Female,Management consultant,None,Christian
23,Telegraphnet Street,Ross,Khan,34,None,Single,Male,"Development worker, international aid",None,Methodist
23,Telegraphnet Street,Frances,Allen,40,None,Single,Female,Technical sales engineer,None,Christian
23,Telegraphnet Street,Reece,Lewis,23,None,Single,Male,Pension scheme manager,None,Methodist
24,Telegraphnet Street,Valerie,Barton,63,Head,Single,Female,Dentist,None,None
24,Telegraphnet Street,Nicholas,Barton,34,Son,Divorced,Male,Private music teacher,None,None
24,Telegraphnet Street,Colin,Barton,32,Son,Widowed,Male,Actor,None,None
25,Telegraphnet Street,Frank,Bates,58,Head,Single,Male,"Surveyor, commercial/residential",None,Methodist
25,Telegraphnet Street,Laura,Walker,59,Partner,Single,Female,"Engineer, electrical",None,Methodist
1,Smith Port,Harriet,Butler,59,Head,Married,Female,"Surveyor, mining",None,Sikh
1,Smith Port,Brandon,Butler,61,Husband,Married,Male,IT sales professional,None,None
1,Smith Port,Anne,Butler,11,Granddaughter,NA,Female,Student,None,NA
2,Smith Port,Reece,Knight,28,Head,Married,Male,Garment/textile technologist, ,None
2,Smith Port,Gillian,Knight,29,Wife,Married,Female,"Designer, interior/spatial",None,None
3,Smith Port,Rachel,Johnson,91,Head,Widowed,Female,Retired Ophthalmologist,None,Christian
4,Smith Port,Aaron,Little,81,Head,Widowed,Male,Retired Sales executive,None,Christian
5,Smith Port,Elliott,George,64,Head,Married,Male,"Psychologist, counselling",None,Catholic
5,Smith Port,Hazel,George,67,Wife,Married,Female,Sales promotion account executive,None,Catholic
6,Smith Port,Sarah,Barker,56,Head,Married,Female,"Surveyor, insurance",None,Catholic
6,Smith Port,Oliver,Barker,58,Husband,Married,Male,"Presenter, broadcasting",None,Catholic
6,Smith Port,Sarah,Barker,15,Daughter,NA,Female,Student,None,NA
7,Smith Port,Max,Cox,80,Head,Married,Male,Retired Systems developer,None,Muslim
7,Smith Port,Carole,Cox,76,Wife,Married,Female,"Retired Teacher, adult education",None,Muslim
8,Smith Port,Shannon,Nash,78,Head,Married,Female,Retired Ranger/warden,None,Christian
8,Smith Port,Stanley,Nash,76,Husband,Married,Male,Retired Patent examiner,None,None
9,Smith Port,Natalie,Harris,38,Head,Single,Female,Software engineer,None,None
10,Smith Port,Shirley,Burgess,62,Head,Divorced,Female,Local government officer,None,Christian
11,Smith Port,Shaun,Potter,56,Head,Single,Male,Health physicist,None,None
11,Smith Port,Cheryl,Day,53,Partner,Single,Female,Dentist,None,None
12,Smith Port,Jay,Cooke,25,Head,Single,Male,Pension scheme manager,None,Christian
13,Smith Port,Sandra,Thomas,46,Head,Single,Female,Dentist,None,None
13,Smith Port,Henry,Campbell,49,Partner,Single,Male,"Engineer, aeronautical",None,None
14,Smith Port,Harriet,Wright,57,Head,Married,Female,"Lecturer, higher education",None,Methodist
14,Smith Port,Toby,Wright,59,Husband,Married,Male,Food technologist,None,Methodist
15,Smith Port,Zoe,Barker,72,Head,Widowed,Female,"Retired Merchandiser, retail",None,Christian
16,Smith Port,Glen,Williams,73,Head,Widowed,Male,Retired Comptroller,None,Christian
17,Smith Port,Kate,Brown,56,Head,Married,Female,Computer games developer,None,Christian
17,Smith Port,Simon,Brown,64,Husband,Married,Male,Podiatrist,None,Christian
17,Smith Port,Jeremy,Brown,16,Son,NA,Male,Student,None,NA
18,Smith Port,Kenneth,Atkinson,80,Head,Widowed,Male,Unemployed,None,Christian
18,Smith Port,Emma,Atkinson,38,Daughter,Single,Female,Exhibition designer,None,Christian
18,Smith Port,Mitchell,Atkinson,34,Son,Divorced,Male,Insurance claims handler,None,Christian
18,Smith Port,Amber,Jackson-Atkinson,31,Daughter,Single,Female,Prison officer,None,Christian
19,Smith Port,Kerry,Bradshaw,71,Head,Widowed,Female,Retired Warehouse manager,None,Catholic
20,Smith Port,Emma,Vincent,23,Head,Single,Female,Community arts worker,None,Christian
21,Smith Port,Katie,Green,76,Head,Married,Female,Retired Public librarian,None,Catholic
21,Smith Port,Ashley,Green,76,Husband,Married,Male,"Retired Engineer, mining",None,Catholic
22,Smith Port,Eileen,Hamilton,57,Head,Divorced,Female,Horticultural therapist,None,Christian
23,Smith Port,Molly,Bryan,85,Head,Widowed,Female,Retired Armed forces technical officer,None,Christian
24,Smith Port,Joanna,Roberts,50,Head,Single,Female,"Programmer, systems",None,None
24,Smith Port,Vincent,Murphy,44,None,Single,Male,Private music teacher,None,Christian
25,Smith Port,Beverley,Lawrence,84,Head,Widowed,Female,Retired Firefighter,None,Christian
26,Smith Port,Alice,Hall,50,Head,Single,Female,Water quality scientist,None,Christian
27,Smith Port,Arthur,Bryant,75,Head,Widowed,Male,Retired Primary school teacher,None,Christian
28,Smith Port,Nigel,Whitehead,50,Head,Married,Male,Computer games developer,None,Catholic
28,Smith Port,Rachel,Whitehead,48,Wife,Married,Female,Glass blower/designer,None,Catholic
28,Smith Port,Maurice,Whitehead,14,Son,NA,Male,Student,None,NA
29,Smith Port,Lydia,Walker,51,Head,Single,Female,Chartered management accountant,None,Catholic
29,Smith Port,Christine,Morgan,61,None,Single,Female,Information systems manager,None,None
30,Smith Port,Annette,Thorpe,72,Head,Divorced,Female,"Retired Engineer, maintenance (IT)",None,None
31,Smith Port,Joanne,Smith,38,Head,Divorced,Female,Teaching laboratory technician,None,Christian
32,Smith Port,Malcolm,Bartlett,22,Head,Single,Male,University Student,None,None
33,Smith Port,Jamie,Bentley,53,Head,Single,Male,Research scientist (life sciences),None,Methodist
34,Smith Port,Keith,Smith,73,Head,Single,Male,Retired Medical physicist,None,Methodist
35,Smith Port,Patrick,Watson,67,Head,Married,Male,Adult nurse,None,Christian
35,Smith Port,Amy,Watson,62,Wife,Married,Female,Soil scientist,None,Christian
36,Smith Port,Amanda,Turner,34,Head,Divorced,Female,"Accountant, chartered certified",None,None
36,Smith Port,Tom,Turner,11,Son,NA,Male,Student,None,NA
37,Smith Port,Alice,Webb,50,Head,Single,Female,Unemployed,None,Catholic
37,Smith Port,Lynne,Webb,17,Daughter,NA,Female,Student,None,NA
38,Smith Port,Leon,Wilkinson,65,Head,Married,Male,Recruitment consultant,None,Christian
38,Smith Port,Emily,Wilkinson,66,Wife,Married,Female,"Journalist, newspaper",None,Christian
39,Smith Port,Jennifer,Williams,73,Head,Widowed,Female,Retired Health and safety adviser,None,Christian
40,Smith Port,Marie,Potter,26,Head,Single,Female,Tour manager,None,Christian
40,Smith Port,Gerard,Thomas,24,Partner,Single,Male,"Surveyor, planning and development",None,Christian
41,Smith Port,Carole,Thomas,18,Head,Single,Female,Student,None,NA
41,Smith Port,Rosie,Green,40,None,Single,Female,"Engineer, technical sales",None,Christian
42,Smith Port,Victoria,Thompson,23,Head,Married,Female,Patent examiner,None,None
42,Smith Port,Allan,Thompson,26,Husband,Married,Male,"Exhibitions officer, museum/gallery",None,None
43,Smith Port,Mathew,Reed,20,Head,Single,Male,University Student,None,None
44,Smith Port,Sheila,Parkinson,60,Head,Single,Female,"Designer, jewellery",None,Christian
45,Smith Port,Kyle,Jones,26,Head,Married,Male,"Programmer, multimedia",None,None
45,Smith Port,Laura,Jones,24,Wife,Married,Female,Horticultural therapist,None,None
46,Smith Port,Kim,Ali,50,Head,Married,Female,Surgeon,Physical Disability,None
46,Smith Port,Ben,Ali,57,Husband,Married,Male,Quality manager,None,None
47,Smith Port,Fiona,Jones,46,Head,Single,Female,Arboriculturist,None,Christian
48,Smith Port,Janet,Lewis,66,Head,Divorced,Female,Warehouse manager,None,Muslim
49,Smith Port,Jamie,Kerr,77,Head,Divorced,Male,Retired Water quality scientist,None,Christian
49,Smith Port,Barry,Kerr,9,Grandson,NA,Male,Student,None,NA
50,Smith Port,Gregory,Greenwood,31,Head,Single,Male,"Engineer, control and instrumentation",None,Methodist
51,Smith Port,Toby,Whittaker,41,Head,Single,Male,"Conservation officer, nature",None,None
51,Smith Port,Louise,Murray-Whittaker,16,Daughter,NA,Female,Student,None,NA
51,Smith Port,Ricky,Murray-Whittaker,12,Son,NA,Male,Student,None,NA
52,Smith Port,Tony,Gibbons,57,Head,Single,Male,Information systems manager,None,None
53,Smith Port,Harriet,Burns,28,Head,Divorced,Female,Product designer,None,Christian
53,Smith Port,Glenn,Burns,0,Son,NA,Male,Child,None,NA
54,Smith Port,Nigel,Patel,72,Head,Widowed,Male,Retired Banker,None,Christian
55,Smith Port,Paul,Greenwood,21,Head,Single,Male,University Student,None,None
56,Smith Port,Carolyn,Harrison,20,Head,Single,Female,University Student,None,None
57,Smith Port,Kimberley,Anderson,38,Head,Married,Female,Cabin crew,None,Catholic
57,Smith Port,John,Anderson,41,Husband,Married,Male,Medical illustrator,None,Catholic
57,Smith Port,Glen,Anderson,1,Son,NA,Male,Child,None,NA
58,Smith Port,Connor,Lowe,22,Head,Single,Male,University Student,None,None
59,Smith Port,Marian,Smith,64,Head,Divorced,Female,Customer service manager,None,Methodist
60,Smith Port,Max,Powell,27,Head,Single,Male,"Nurse, learning disability",None,None
61,Smith Port,Hazel,Wright,86,Head,Widowed,Female,Retired Energy manager,None,Christian
62,Smith Port,Oliver,Summers,25,Head,Single,Male,"Civil engineer, consulting",None,None
63,Smith Port,Carly,Farmer,35,Head,Married,Female,Oceanographer,None,Christian
63,Smith Port,Carl,Farmer,38,Husband,Married,Male,Manufacturing systems engineer,None,Christian
63,Smith Port,Nicola,Farmer,16,Daughter,NA,Female,Student,None,NA
64,Smith Port,Michael,Todd,31,Head,Divorced,Male,Education administrator,None,None
65,Smith Port,Maria,Jones,66,Head,Widowed,Female,"Administrator, education",None,Methodist
66,Smith Port,Donna,Waters,67,Head,Widowed,Female,Psychiatric nurse,None,Catholic
67,Smith Port,Georgina,Walker,81,Head,Married,Female,"Retired Engineer, electrical",None,None
67,Smith Port,Frank,Walker,81,Husband,Married,Male,Retired Solicitor,None,None
68,Smith Port,Ian,Nixon,71,Head,Widowed,Male,Retired Solicitor,None,None
69,Smith Port,Bruce,Campbell,34,Head,Single,Male,Unemployed,None,None
69,Smith Port,Samuel,Gray,48,None,Divorced,Male,Copy,None,Catholic
70,Smith Port,Jeffrey,McDonald,50,Head,Single,Male,Associate Professor,None,Methodist
71,Smith Port,Justin,Hooper,49,Head,Single,Male,"Engineer, communications",None,None
72,Smith Port,Elizabeth,Reid,47,Head,Single,Female,Industrial/product designer,None,None
73,Smith Port,Gail,Wood,68,Head,Widowed,Female,Retired Administrator,None,Christian
74,Smith Port,Michael,Johnston,29,Head,Divorced,Male,Sub,None,Catholic
75,Smith Port,Leanne,Brown,43,Head,Single,Female,Paediatric nurse,None,Catholic
76,Smith Port,Stacey,Smith,41,Head,Single,Female,Interpreter,None,None
77,Smith Port,Thomas,Turner,18,Head,Divorced,Male,Student,None,NA
78,Smith Port,Anthony,Pearson,43,Head,Divorced,Male,Risk analyst,None,Catholic
78,Smith Port,Dennis,Pearson,14,Son,NA,Male,Student,None,NA
79,Smith Port,Rita,Norris,60,Head,Married,Female,Location manager,None,Christian
79,Smith Port,Mohammed,Norris,64,Husband,Married,Male,Technical brewer,None,Christian
79,Smith Port,Norman,Norris,15,Son,NA,Male,Student,None,NA
80,Smith Port,Aaron,Martin,32,Head,Single,Male,Financial controller,None,Muslim
81,Smith Port,Bruce,Robinson,54,Head,Married,Male,Food technologist,None,None
81,Smith Port,Alice,Robinson,49,Wife,Married,Female,Ship broker,None,None
82,Smith Port,Richard,Walker,80,Head,Divorced,Male,Retired Mining engineer,None,Methodist
83,Smith Port,June,Harding,60,Head,Single,Female,"Engineer, agricultural",None,Christian
83,Smith Port,Bethany,Harding,11,Daughter,NA,Female,Student,None,NA
83,Smith Port,Suzanne,Harding,5,Daughter,NA,Female,Student,None,NA
84,Smith Port,Frank,Farrell,83,Head,Widowed,Male,Retired Electrical engineer,None,Christian
85,Smith Port,Amanda,Lee,79,Head,Widowed,Female,Retired Games developer,None,None
86,Smith Port,Bernard,Gallagher,71,Head,Widowed,Male,"Retired Surveyor, building",None,Sikh
87,Smith Port,Leigh,Marsh,29,Head,Single,Male,Speech and language therapist,None,Christian
88,Smith Port,Shaun,Cooper,46,Head,Single,Male,Chiropractor,None,None
89,Smith Port,Debra,Gibson,68,Head,Divorced,Female,"Retired Engineer, production",None,Catholic
90,Smith Port,Annette,Jones,55,Head,Married,Female,Actuary,None,Muslim
90,Smith Port,Glen,Jones,58,Husband,Married,Male,Clinical molecular geneticist,None,Muslim
90,Smith Port,Jane,Jones,19,Daughter,Single,Female,University Student,None,Muslim
90,Smith Port,Jay,Jones,13,Son,NA,Male,Student,None,NA
91,Smith Port,Justin,Ellis,76,Head,Single,Male,"Retired Production assistant, radio",None,None
92,Smith Port,Olivia,Stephens,75,Head,Single,Female,Retired Ophthalmologist,None,Christian
93,Smith Port,Lesley,Robertson,31,Head,Married,Female,Records manager,None,Christian
93,Smith Port,Nigel,Robertson,32,Husband,Married,Male,"Administrator, local government",None,Christian
94,Smith Port,Reece,Rowe,22,Head,Single,Male,University Student,None,Catholic
95,Smith Port,Charlotte,Watkins,68,Head,Widowed,Female,"Retired Therapist, drama",None,None
96,Smith Port,Annette,Hawkins,65,Head,Divorced,Female,Commissioning editor,None,Christian
97,Smith Port,Stacey,Dawson,55,Head,Married,Female,"Therapist, art",None,Christian
97,Smith Port,Stuart,Dawson,60,Husband,Married,Male,Astronomer,None,None
98,Smith Port,Garry,Barker,48,Head,Single,Male,"Designer, fashion/clothing",None,Christian
99,Smith Port,Dylan,Jenkins,59,Head,Single,Male,"Psychotherapist, dance movement",None,Christian
100,Smith Port,Nicole,Davies,49,Head,Married,Female,Research scientist (maths),None,None
100,Smith Port,Christian,Davies,54,Husband,Married,Male,Materials engineer,None,None
101,Smith Port,Derek,Martin,65,Head,Single,Male,Firefighter,None,Christian
101,Smith Port,Clifford,Scott,17,Grandson,NA,Male,Student,None,NA
102,Smith Port,Jason,Smith,43,Head,Married,Male,Brewing technologist,None,None
102,Smith Port,Zoe,Smith,41,Wife,Married,Female,Tree surgeon,None,None
103,Smith Port,Leah,Wood,63,Head,Single,Female,Computer games developer,None,None
104,Smith Port,Carole,Read,73,Head,Widowed,Female,Retired Arboriculturist,None,None
105,Smith Port,Josh,Williams,75,Head,Divorced,Male,Retired Jewellery designer,None,None
106,Smith Port,Raymond,Brookes,27,Head,Divorced,Male,"Programmer, multimedia", ,None
107,Smith Port,Josephine,Henderson,73,Head,Widowed,Female,Retired Ecologist,None,Christian
108,Smith Port,Christopher,Rowe,66,Head,Widowed,Male,"Surveyor, commercial/residential",None,Christian
109,Smith Port,Donna,Smith,22,Head,Single,Female,University Student,None,None
110,Smith Port,Fiona,Bruce,43,Head,Married,Female,Unemployed,None,Catholic
110,Smith Port,Clive,Bruce,48,Husband,Married,Male,Intelligence analyst,None,Catholic
110,Smith Port,Tracey,Bruce,20,Daughter,Divorced,Female,University Student,None,Catholic
110,Smith Port,Jill,Bruce,16,Daughter,NA,Female,Student,None,NA
111,Smith Port,Aimee,Brown,69,Head,Single,Female,Retired Lawyer,None,None
112,Smith Port,Amelia,Taylor,70,Head,Widowed,Female,Retired Tourism officer,None,Christian
113,Smith Port,Louise,McLean,84,Head,Widowed,Female,Retired Statistician,None,Christian
114,Smith Port,Pauline,Bond,61,Head,Widowed,Female,Applications developer,None,Methodist
115,Smith Port,Bethany,Robinson,22,Head,Married,Female,University Student,None,Methodist
115,Smith Port,Denise,Robinson,24,Wife,Married,Female,Unemployed,None,Methodist
115,Smith Port,Damian,Robinson,1,Son,NA,Male,Child,None,NA
116,Smith Port,Frances,Richardson,85,Head,Divorced,Female,Retired Financial trader,None,None
117,Smith Port,Joanne,Parker,35,Head,Single,Female,"Doctor, hospital",None,None
117,Smith Port,Geoffrey,Ahmed,39,Partner,Single,Male,Midwife,None,None
118,Smith Port,Connor,Norton,64,Head,Single,Male,"Investment banker, corporate",None,None
119,Smith Port,Valerie,Owen,22,Head,Single,Female,University Student,None,Methodist
119,Smith Port,Jodie,Howell,19,None,Single,Female,University Student,None,None
119,Smith Port,Mary,Chapman,21,None,Single,Female,University Student,None,Sikh
120,Smith Port,Cheryl,Edwards,67,Head,Divorced,Female,Learning disability nurse,None,None
121,Smith Port,Garry,Howe,69,Head,Widowed,Male,Retired Ranger/warden,None,None
122,Smith Port,Barbara,Adams,55,Head,Married,Female,Horticultural consultant,None,Christian
122,Smith Port,Louis,Adams,57,Husband,Married,Male,Learning disability nurse,None,Christian
122,Smith Port,Gerald,Robinson-Adams,17,Son,NA,Male,Student,None,NA
123,Smith Port,Helen,Robson,68,Head,Married,Female,"Retired Restaurant manager, fast food",None,Catholic
123,Smith Port,Marc,Robson,67,Husband,Married,Male,Unemployed,None,Catholic
124,Smith Port,Heather,Russell,67,Head,Married,Female,Data processing manager,None,None
124,Smith Port,Roy,Russell,68,Husband,Married,Male,Retired Product/process development scientist,None,None
125,Smith Port,Nicholas,Grant,63,Head,Divorced,Male,Make,None,Christian
126,Smith Port,Conor,Russell,86,Head,Widowed,Male,"Retired Psychotherapist, child",None,None
127,Smith Port,Graham,Burke,71,Head,Married,Male,Retired Geoscientist,None,None
127,Smith Port,Pauline,Burke,67,Wife,Married,Female,Haematologist,None,None
128,Smith Port,Frederick,Hunt,57,Head,Divorced,Male,Production engineer,None,Christian
129,Smith Port,Ashley,Saunders,77,Head,Widowed,Male,Retired Armed forces logistics/support/administrative officer,None,Methodist
130,Smith Port,Declan,Gardner,36,Head,Single,Male,"Copywriter, advertising",None,Methodist
130,Smith Port,Jayne,Lucas,33,Partner,Single,Female,Health and safety adviser,None,Methodist
131,Smith Port,Emily,Brown,41,Head,Single,Female,"Conservator, museum/gallery",None,Methodist
132,Smith Port,Alice,Smith,57,Head,Single,Female,Travel agency manager,None,Christian
133,Smith Port,Adam,Page,82,Head,Married,Male,Retired Naval architect,None,Methodist
133,Smith Port,Justin,Page,81,Husband,Married,Male,"Retired Education officer, community",None,None
134,Smith Port,Patrick,Shaw,56,Head,Married,Male,Naval architect,None,Christian
134,Smith Port,Mary,Shaw,53,Wife,Married,Female,Private music teacher,None,Christian
135,Smith Port,Danny,Cooper,88,Head,Single,Male,Retired Jewellery designer,None,Catholic
136,Smith Port,Nicola,James,21,Head,Single,Female,University Student,None,None
137,Smith Port,Shane,Kelly,23,Head,Divorced,Male,"Engineer, broadcasting (operations)",None,None
138,Smith Port,Leslie,Ali,46,Head,Single,Male,Metallurgist,None,Catholic
139,Smith Port,Gerald,Gilbert,63,Head,Divorced,Male,Conference centre manager,None,Christian
139,Smith Port,Marian,Stone,12,Granddaughter,NA,Female,Student,None,NA
140,Smith Port,Claire,Lewis,38,Head,Divorced,Female,Immunologist,None,None
140,Smith Port,Tony,Short,59,Lodger,Single,Male,Holiday representative,None,None
140,Smith Port,Clare,Jones,61,Lodger,Widowed,Female,"Scientist, physiological",None,None
141,Smith Port,Alex,Tucker,57,Head,Single,Male,Unemployed,None,Christian
142,Smith Port,Zoe,Gardner,55,Head,Single,Female,"Biochemist, clinical",None,Christian
143,Smith Port,Joel,Singh,63,Head,Single,Male,"Psychologist, clinical",None,Christian
144,Smith Port,Maria,Lee,26,Head,Single,Female,"Engineer, production",None,None
144,Smith Port,Julian,Morgan,27,Lodger,Single,Male,Forensic psychologist,None,Sikh
145,Smith Port,Ann,Thompson,23,Head,Divorced,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
146,Smith Port,Marcus,Russell,61,Head,Single,Male,Purchasing manager,None,Christian
